animal_id,outcome_age_(years),has_name,is_adopted,sex_male,spay_neuter,cfa_approved,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A687041,0.0191780821917808,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A689349,0.0821917808219178,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
A668549,1.0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
A635698,1.0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
A687495,0.2465753424657534,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0
A664070,0.2465753424657534,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
A668908,0.6575342465753424,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
A668683,2.0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
A676213,8.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A674396,5.0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
A686214,0.1643835616438356,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
A683238,1.0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A680461,0.3287671232876712,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1
A677282,0.1643835616438356,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
A665145,0.6575342465753424,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A686795,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
A688059,0.0958904109589041,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A688519,0.1643835616438356,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
A682075,2.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A679737,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
A679717,0.0575342465753424,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
A672589,10.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
A672516,0.2465753424657534,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A666154,1.0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A670830,1.0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A674282,0.6575342465753424,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A683186,0.0575342465753424,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
A691275,0.1643835616438356,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A674726,5.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
A685949,0.1643835616438356,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
A670892,0.6575342465753424,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0
A678198,0.4931506849315068,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
A689268,0.0575342465753424,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
A679696,0.1643835616438356,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A682837,1.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A681531,0.0082191780821917,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
A676170,0.7397260273972602,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A688321,1.0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A678650,2.0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
A686466,0.2465753424657534,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
A679923,0.2465753424657534,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A668405,2.0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A669603,0.3287671232876712,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
A682002,0.0054794520547945,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A685147,0.1643835616438356,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A675482,0.0082191780821917,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
A669791,1.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
A689965,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A688158,0.5753424657534246,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
A688809,0.0821917808219178,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
A675125,1.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A689193,0.0575342465753424,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A683797,0.0575342465753424,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A678823,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A627604,5.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
A688096,1.0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
A679292,3.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
A687682,0.0136986301369863,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689146,0.0821917808219178,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A679452,0.0575342465753424,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A674929,0.1643835616438356,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A680094,0.0767123287671232,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
